i,seed,status,score,elapsed_sec,moves,pellets_total,pellets_eaten,completion_pct,ts
0,5628,LOSS,7100,10.020676,1776,102,75,73.53,1755947959
1,880,LOSS,130,1.129182,206,102,13,12.75,1755947960
2,4255,LOSS,130,1.150392,206,102,13,12.75,1755947962
0,2373,WIN,7470,14.727132,2625,102,102,100.0,1755948021
1,4510,WIN,1470,15.811289,2865,102,102,100.0,1755948037
2,1893,LOSS,3570,5.103934,918,102,47,46.08,1755948043
0,9484,LOSS,150,1.308375,237,102,15,14.71,1755948050
1,4446,LOSS,130,1.16686,206,102,13,12.75,1755948052
2,9040,LOSS,4140,12.310026,2202,102,94,92.16,1755948065
3,5221,LOSS,110,1.151003,207,102,11,10.78,1755948066
4,6169,WIN,1270,13.1862,2355,102,102,100.0,1755948080
5,369,LOSS,60,0.589344,102,102,6,5.88,1755948081
6,1485,LOSS,130,1.154902,206,102,13,12.75,1755948083
7,2471,WIN,4270,12.087127,2175,102,102,100.0,1755948095
8,1079,LOSS,130,1.141284,206,102,13,12.75,1755948097
9,3709,LOSS,140,1.393126,252,102,14,13.73,1755948099
0,3520,WIN,1270,16.80702,2985,102,102,100.0,1755948148
1,6213,WIN,4220,14.705523,2655,102,102,100.0,1755948163
2,6829,LOSS,130,1.168725,206,102,13,12.75,1755948165
3,6622,LOSS,150,1.313179,237,102,15,14.71,1755948167
4,6519,LOSS,130,1.169051,206,102,13,12.75,1755948169
5,2282,WIN,2670,15.351291,2745,102,102,100.0,1755948184
6,6612,LOSS,1550,14.62939,2604,102,80,78.43,1755948200
7,4891,WIN,4220,14.885153,2655,102,102,100.0,1755948215
8,6971,WIN,1870,14.239608,2565,102,102,100.0,1755948230
9,1323,LOSS,130,1.192337,206,102,13,12.75,1755948231
0,5966,LOSS,2300,31.866296,5351,213,210,98.59,1755948296
1,5803,LOSS,2920,33.741237,6069,213,212,99.53,1755948331
2,5266,LOSS,2240,35.119116,6239,213,204,95.77,1755948366
3,1694,LOSS,170,1.734349,311,213,17,7.98,1755948369
4,9890,LOSS,170,1.724184,311,213,17,7.98,1755948371
5,4046,LOSS,1720,16.39637,2922,213,137,64.32,1755948387
6,3534,LOSS,2030,13.720983,2463,213,128,60.09,1755948402
7,8380,WIN,2530,46.011005,8280,213,213,100.0,1755948448
8,8095,WIN,2530,37.671699,6750,213,213,100.0,1755948486
9,4377,LOSS,2220,27.839031,4942,213,202,94.84,1755948515
0,8259,WIN,4270,15.333069,2745,102,102,100.0,1755948550
1,6545,LOSS,130,1.160104,206,102,13,12.75,1755948552
2,6394,LOSS,130,1.153696,206,102,13,12.75,1755948553
3,2747,DNF,90,0.863041,143,102,9,8.82,1755948555
4,8217,DNF,110,0.988261,166,102,11,10.78,1755948556
5,7333,DNF,20,0.303049,37,102,2,1.96,1755948557
6,2885,DNF,20,0.301948,36,102,2,1.96,1755948558
7,9771,DNF,30,0.394549,54,102,3,2.94,1755948558
8,3363,DNF,70,0.669639,105,102,7,6.86,1755948560
9,6404,DNF,30,0.345626,51,102,3,2.94,1755948560
0,2167,WIN,1270,16.691777,2970,102,102,100.0,1755948614
1,540,LOSS,130,1.139913,206,102,13,12.75,1755948615
2,7261,LOSS,130,1.155036,206,102,13,12.75,1755948617
3,6177,DNF,30,0.412044,58,102,3,2.94,1755948618
4,5311,DNF,70,0.712737,110,102,7,6.86,1755948619
5,2918,DNF,30,0.404718,54,102,3,2.94,1755948620
6,3437,DNF,20,0.333867,40,102,2,1.96,1755948621
7,8342,DNF,70,0.764032,123,102,7,6.86,1755948622
8,1543,DNF,30,0.367796,53,102,3,2.94,1755948623
9,2625,DNF,20,0.317871,42,102,2,1.96,1755948624
0,2544,LOSS,90,0.828668,147,102,9,8.82,1755948643
1,1244,LOSS,90,0.816928,147,102,9,8.82,1755948645
2,8304,DNF,560,5.619552,980,102,46,45.1,1755948651
0,828,LOSS,90,0.830146,147,102,9,8.82,1755948681
1,5373,LOSS,90,0.827736,147,102,9,8.82,1755948682
2,6281,LOSS,3790,6.613822,1179,102,69,67.65,1755948689
0,1348,WIN,4270,14.403658,2595,102,102,100.0,1755948732
1,3867,LOSS,90,0.83085,147,102,9,8.82,1755948733
2,9821,LOSS,90,0.813259,147,102,9,8.82,1755948734
0,2168,LOSS,60,0.575022,102,102,6,5.88,1755948744
1,4209,LOSS,3670,5.887944,1056,102,57,55.88,1755948750
2,6210,LOSS,3650,6.345444,1139,102,55,53.92,1755948757
0,5743,LOSS,150,1.342023,237,102,15,14.71,1755948773
1,7880,LOSS,150,1.329327,237,102,15,14.71,1755948775
2,8062,WIN,7420,19.135503,3435,102,102,100.0,1755948794
0,6237,WIN,1270,15.697881,2835,102,102,100.0,1755948815
1,1002,LOSS,60,0.563609,102,102,6,5.88,1755948816
2,2316,LOSS,130,1.16151,206,102,13,12.75,1755948818
0,3620,LOSS,150,1.333104,237,102,15,14.71,1755948823
1,3801,LOSS,100,1.055221,192,102,10,9.8,1755948825
2,1704,LOSS,130,1.160099,206,102,13,12.75,1755948826
0,521,LOSS,100,1.092283,192,102,10,9.8,1755948831
1,5803,LOSS,150,1.314913,237,102,15,14.71,1755948833
2,6882,WIN,2670,15.089973,2730,102,102,100.0,1755948848
0,3519,WIN,1870,20.82774,3735,102,102,100.0,1755948875
1,8917,LOSS,1210,5.874795,1056,102,51,50.0,1755948881
2,1664,LOSS,4150,13.820524,2489,102,95,93.14,1755948896
3,3317,LOSS,100,1.069009,192,102,10,9.8,1755948897
4,2876,LOSS,4120,13.989311,2474,102,97,95.1,1755948912
0,6310,LOSS,4180,16.823459,3006,102,98,96.08,1755948932
1,7284,LOSS,130,1.170538,206,102,13,12.75,1755948934
2,3588,LOSS,130,1.149824,206,102,13,12.75,1755948935
3,3525,WIN,2670,17.164609,3045,102,102,100.0,1755948953
4,813,WIN,1470,25.029604,4455,102,102,100.0,1755948979
0,4005,LOSS,100,1.077807,192,102,10,9.8,1755948988
1,6857,LOSS,130,1.163793,206,102,13,12.75,1755948989
2,7240,LOSS,100,1.078934,192,102,10,9.8,1755948991
3,4057,WIN,7470,23.319426,4155,102,102,100.0,1755949015
4,5711,LOSS,4180,14.333914,2544,102,98,96.08,1755949030
0,12345,LOSS,4000,9.205247,1638,102,85,83.33,1755949049
1,12346,WIN,4270,13.390471,2385,102,102,100.0,1755949063
2,12347,LOSS,4260,12.163341,2196,102,101,99.02,1755949076
3,12348,LOSS,150,1.346946,237,102,15,14.71,1755949078
4,12349,LOSS,1310,6.242538,1124,102,61,59.8,1755949084
